date,time,mq2_adc,mq2_rs,mq2_ratio,mq2_ppm,mq2_delta,mq135_adc,mq135_rs,mq135_ratio,mq135_ppm,mq135_delta,mq7_adc,mq7_rs,mq7_ratio,mq7_ppm,mq7_delta,label
2026-04-06,23:38:36,378,196666.67,7.63,0.02,,1535,33355.05,3.15,0.13,,273,280000.0,10.15,0.01,,3
2026-04-06,23:38:38,367,203160.77,7.88,0.02,,1527,33634.58,3.18,0.13,,272,281102.94,10.19,0.01,,3
2026-04-06,23:38:40,357,209411.77,8.13,0.02,,1515,34059.41,3.22,0.12,,269,284460.97,10.31,0.01,,3
2026-04-06,23:38:42,375,198399.98,7.7,0.02,,1526,33669.72,3.18,0.13,,273,280000.0,10.15,0.01,,3
2026-04-06,23:38:44,351,213333.33,8.28,0.02,,1503,34491.02,3.26,0.12,,272,281102.94,10.19,0.01,,3
2026-04-06,23:38:46,372,200161.3,7.77,0.02,,1529,33564.42,3.17,0.13,,269,284460.97,10.31,0.01,,3
2026-04-06,23:38:48,353,212011.33,8.23,0.02,,1498,34672.89,3.28,0.12,,262,292595.41,10.61,0.01,,3
2026-04-06,23:38:50,368,202554.36,7.86,0.02,,1515,34059.41,3.22,0.12,,272,281102.94,10.19,0.01,,3
2026-04-06,23:38:52,358,208770.95,8.1,0.02,,1502,34527.3,3.26,0.12,,272,281102.94,10.19,0.01,,3
2026-04-06,23:38:54,383,193838.12,7.52,0.02,,1510,34238.41,3.24,0.12,,281,271459.09,9.84,0.01,,3
2026-04-06,23:38:56,368,202554.36,7.86,0.02,,1495,34782.61,3.29,0.12,,275,277818.19,10.07,0.01,,3
2026-04-06,23:38:58,380,195526.31,7.59,0.02,,1511,34202.52,3.23,0.12,,270,283333.34,10.27,0.01,,3
2026-04-06,23:39:00,368,202554.36,7.86,0.02,,1505,34418.61,3.25,0.12,,272,281102.94,10.19,0.01,,3
2026-04-06,23:39:02,355,210704.22,8.18,0.02,,1495,34782.61,3.29,0.12,,273,280000.0,10.15,0.01,,3
