date,time,mq2_adc,mq2_rs,mq2_ratio,mq2_ppm,mq135_adc,mq135_rs,mq135_ratio,mq135_ppm,mq7_adc,mq7_rs,mq7_ratio,mq7_ppm,label
2026-04-01,00:45:49,305,248524.59,21.31,0.0,1959,21807.04,1.82,0.42,150,526000.0,47.82,0.0,0
2026-04-01,00:45:52,300,253000.0,21.7,0.0,1966,21658.19,1.8,0.42,151,522384.09,47.49,0.0,0
2026-04-01,00:45:54,311,243344.05,20.87,0.0,1959,21807.04,1.82,0.42,160,491874.97,44.72,0.0,0
2026-04-01,00:45:56,302,251192.05,21.54,0.0,1939,22238.27,1.85,0.4,163,482453.97,43.86,0.0,0
2026-04-01,00:45:58,303,250297.03,21.47,0.0,1957,21849.77,1.82,0.41,161,488695.66,44.43,0.0,0
2026-04-01,00:46:00,298,254832.22,21.86,0.0,1974,21489.36,1.79,0.43,156,505000.0,45.91,0.0,0
2026-04-01,00:46:02,311,243344.05,20.87,0.0,1957,21849.77,1.82,0.41,159,495094.34,45.01,0.0,0
2026-04-01,00:46:04,295,257627.13,22.09,0.0,1950,22000.0,1.83,0.41,145,544827.56,49.53,0.0,0
2026-04-01,00:46:06,305,248524.59,21.31,0.0,1931,22413.26,1.87,0.39,147,537142.81,48.83,0.0,0
2026-04-01,00:46:08,304,249407.89,21.39,0.0,1948,22043.12,1.84,0.41,162,485555.56,44.14,0.0,0
2026-04-01,00:46:10,299,253913.03,21.78,0.0,1936,22303.72,1.86,0.4,149,529664.44,48.15,0.0,0
2026-04-01,00:46:12,304,249407.89,21.39,0.0,1953,21935.48,1.83,0.41,159,495094.34,45.01,0.0,0
2026-04-01,00:46:14,295,257627.13,22.09,0.0,1947,22064.71,1.84,0.4,148,533378.37,48.49,0.0,0
2026-04-01,00:46:16,317,238359.63,20.44,0.0,1970,21573.61,1.8,0.42,157,501656.06,45.61,0.0,0
2026-04-01,00:46:18,304,249407.89,21.39,0.0,1925,22545.46,1.88,0.39,151,522384.09,47.49,0.0,0
2026-04-01,00:46:20,306,247647.06,21.24,0.0,1970,21573.61,1.8,0.42,159,495094.34,45.01,0.0,0
2026-04-01,00:46:22,300,253000.0,21.7,0.0,1927,22501.3,1.88,0.39,153,515294.13,46.84,0.0,0
2026-04-01,00:46:24,294,258571.42,22.18,0.0,1948,22043.12,1.84,0.41,157,501656.06,45.61,0.0,0
2026-04-01,00:46:26,301,252093.03,21.62,0.0,1947,22064.71,1.84,0.4,156,505000.0,45.91,0.0,0
2026-04-01,00:46:28,314,240828.03,20.65,0.0,1949,22021.55,1.84,0.41,158,498354.41,45.3,0.0,0
2026-04-01,00:46:30,293,259522.19,22.26,0.0,1931,22413.26,1.87,0.39,150,526000.0,47.82,0.0,0
2026-04-01,00:46:32,298,254832.22,21.86,0.0,1957,21849.77,1.82,0.41,155,508387.09,46.22,0.0,0
2026-04-01,00:46:34,304,249407.89,21.39,0.0,1945,22107.97,1.84,0.4,151,522384.09,47.49,0.0,0
2026-04-01,00:46:36,304,249407.89,21.39,0.0,1957,21849.77,1.82,0.41,155,508387.09,46.22,0.0,0
2026-04-01,00:46:38,304,249407.89,21.39,0.0,1927,22501.3,1.88,0.39,156,505000.0,45.91,0.0,0
2026-04-01,00:46:40,295,257627.13,22.09,0.0,1936,22303.72,1.86,0.4,151,522384.09,47.49,0.0,0
2026-04-01,00:46:42,302,251192.05,21.54,0.0,1936,22303.72,1.86,0.4,149,529664.44,48.15,0.0,0
2026-04-01,00:46:44,301,252093.03,21.62,0.0,1935,22325.58,1.86,0.39,149,529664.44,48.15,0.0,0
2026-04-01,00:46:46,304,249407.89,21.39,0.0,1966,21658.19,1.8,0.42,160,491874.97,44.72,0.0,0
2026-04-01,00:46:48,304,249407.89,21.39,0.0,1936,22303.72,1.86,0.4,149,529664.44,48.15,0.0,0
2026-04-01,00:46:50,314,240828.03,20.65,0.0,1967,21637.01,1.8,0.42,158,498354.41,45.3,0.0,0
2026-04-01,00:46:52,304,249407.89,21.39,0.0,1934,22347.47,1.86,0.39,157,501656.06,45.61,0.0,0
2026-04-01,00:46:54,309,245048.53,21.02,0.0,1936,22303.72,1.86,0.4,158,498354.41,45.3,0.0,0
2026-04-01,00:46:56,299,253913.03,21.78,0.0,1927,22501.3,1.88,0.39,158,498354.41,45.3,0.0,0
2026-04-01,00:46:58,302,251192.05,21.54,0.0,1938,22260.06,1.86,0.4,158,498354.41,45.3,0.0,0
2026-04-01,00:47:00,299,253913.03,21.78,0.0,1948,22043.12,1.84,0.41,149,529664.44,48.15,0.0,0
2026-04-01,00:47:02,343,218775.52,18.76,0.0,2023,20484.43,1.71,0.47,156,505000.0,45.91,0.0,0
2026-04-01,00:47:04,337,223026.7,19.13,0.0,1999,20970.48,1.75,0.45,153,515294.13,46.84,0.0,0
2026-04-01,00:47:06,334,225209.59,19.31,0.0,1926,22523.37,1.88,0.39,161,488695.66,44.43,0.0,0
2026-04-01,00:47:08,320,235937.48,20.23,0.0,1911,22857.14,1.9,0.38,158,498354.41,45.3,0.0,0
2026-04-01,00:47:10,301,252093.03,21.62,0.0,1923,22589.7,1.88,0.39,202,385445.56,35.04,0.0,0
2026-04-01,00:47:12,311,243344.05,20.87,0.0,1919,22678.48,1.89,0.38,211,368151.66,33.47,0.0,0
2026-04-01,00:47:14,328,229695.12,19.7,0.0,1937,22281.88,1.86,0.4,192,406562.53,36.96,0.0,0
2026-04-01,00:47:16,312,242500.0,20.8,0.0,1968,21615.85,1.8,0.42,192,406562.53,36.96,0.0,0
2026-04-01,00:47:18,323,233560.37,20.03,0.0,1972,21531.44,1.79,0.43,178,440112.34,40.01,0.0,0
2026-04-01,00:47:20,314,240828.03,20.65,0.0,1974,21489.36,1.79,0.43,179,437541.91,39.78,0.0,0
2026-04-01,00:47:22,323,233560.37,20.03,0.0,1942,22173.02,1.85,0.4,192,406562.53,36.96,0.0,0
2026-04-01,00:47:24,320,235937.48,20.23,0.0,1984,21280.24,1.77,0.44,193,404352.31,36.76,0.0,0
2026-04-01,00:47:26,320,235937.48,20.23,0.0,1941,22194.74,1.85,0.4,176,445340.91,40.49,0.0,0
2026-04-01,00:47:28,319,236739.83,20.3,0.0,1966,21658.19,1.8,0.42,176,445340.91,40.49,0.0,0
2026-04-01,00:47:30,309,245048.53,21.02,0.0,1942,22173.02,1.85,0.4,170,461764.69,41.98,0.0,0
2026-04-01,00:47:32,311,243344.05,20.87,0.0,1982,21321.9,1.78,0.44,170,461764.69,41.98,0.0,0
2026-04-01,00:47:34,315,239999.98,20.58,0.0,1952,21956.97,1.83,0.41,165,476363.62,43.31,0.0,0
2026-04-01,00:47:36,326,231226.98,19.83,0.0,1985,21259.45,1.77,0.44,173,453410.41,41.22,0.0,0
2026-04-01,00:47:38,310,244193.55,20.94,0.0,1948,22043.12,1.84,0.41,163,482453.97,43.86,0.0,0
2026-04-01,00:47:40,314,240828.03,20.65,0.0,1975,21468.35,1.79,0.43,165,476363.62,43.31,0.0,0
2026-04-01,00:47:42,310,244193.55,20.94,0.0,1963,21721.85,1.81,0.42,158,498354.41,45.3,0.0,0
2026-04-01,00:47:44,304,249407.89,21.39,0.0,1972,21531.44,1.79,0.43,166,473373.5,43.03,0.0,0
2026-04-01,00:47:46,314,240828.03,20.65,0.0,1967,21637.01,1.8,0.42,159,495094.34,45.01,0.0,0
2026-04-01,00:47:48,303,250297.03,21.47,0.0,1951,21978.47,1.83,0.41,160,491874.97,44.72,0.0,0
2026-04-01,00:47:50,313,241661.34,20.73,0.0,2000,20950.0,1.75,0.45,167,470419.19,42.77,0.0,0
2026-04-01,00:47:52,314,240828.03,20.65,0.0,1951,21978.47,1.83,0.41,161,488695.66,44.43,0.0,0
2026-04-01,00:47:54,307,246775.23,21.16,0.0,1983,21301.06,1.78,0.44,161,488695.66,44.43,0.0,0
2026-04-01,00:47:56,311,243344.05,20.87,0.0,1968,21615.85,1.8,0.42,158,498354.41,45.3,0.0,0
2026-04-01,00:47:58,314,240828.03,20.65,0.0,1999,20970.48,1.75,0.45,163,482453.97,43.86,0.0,0
2026-04-01,00:48:00,309,245048.53,21.02,0.0,1968,21615.85,1.8,0.42,159,495094.34,45.01,0.0,0
2026-04-01,00:48:02,307,246775.23,21.16,0.0,1986,21238.67,1.77,0.44,158,498354.41,45.3,0.0,0
2026-04-01,00:48:04,304,249407.89,21.39,0.0,1973,21510.39,1.79,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:48:06,305,248524.59,21.31,0.0,1988,21197.18,1.77,0.44,162,485555.56,44.14,0.0,0
2026-04-01,00:48:08,304,249407.89,21.39,0.0,1966,21658.19,1.8,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:48:10,314,240828.03,20.65,0.0,1985,21259.45,1.77,0.44,160,491874.97,44.72,0.0,0
2026-04-01,00:48:12,306,247647.06,21.24,0.0,1975,21468.35,1.79,0.43,158,498354.41,45.3,0.0,0
2026-04-01,00:48:14,304,249407.89,21.39,0.0,1986,21238.67,1.77,0.44,157,501656.06,45.61,0.0,0
2026-04-01,00:48:16,295,257627.13,22.09,0.0,1967,21637.01,1.8,0.42,160,491874.97,44.72,0.0,0
2026-04-01,00:48:18,303,250297.03,21.47,0.0,1983,21301.06,1.78,0.44,157,501656.06,45.61,0.0,0
2026-04-01,00:48:20,304,249407.89,21.39,0.0,1968,21615.85,1.8,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:48:22,299,253913.03,21.78,0.0,1981,21342.76,1.78,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:48:24,316,239177.2,20.51,0.0,2009,20766.55,1.73,0.46,166,473373.5,43.03,0.0,0
2026-04-01,00:48:26,317,238359.63,20.44,0.0,1967,21637.01,1.8,0.42,158,498354.41,45.3,0.0,0
2026-04-01,00:48:28,304,249407.89,21.39,0.0,1981,21342.76,1.78,0.43,154,511818.19,46.53,0.0,0
2026-04-01,00:48:30,301,252093.03,21.62,0.0,1985,21259.45,1.77,0.44,154,511818.19,46.53,0.0,0
2026-04-01,00:48:32,310,244193.55,20.94,0.0,2002,20909.09,1.74,0.45,160,491874.97,44.72,0.0,0
2026-04-01,00:48:34,298,254832.22,21.86,0.0,1963,21721.85,1.81,0.42,151,522384.09,47.49,0.0,0
2026-04-01,00:48:36,304,249407.89,21.39,0.0,2003,20888.67,1.74,0.46,159,495094.34,45.01,0.0,0
2026-04-01,00:48:38,303,250297.03,21.47,0.0,1977,21426.4,1.79,0.43,154,511818.19,46.53,0.0,0
2026-04-01,00:48:40,309,245048.53,21.02,0.0,2004,20868.26,1.74,0.46,160,491874.97,44.72,0.0,0
2026-04-01,00:48:42,302,251192.05,21.54,0.0,1973,21510.39,1.79,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:48:44,306,247647.06,21.24,0.0,2001,20929.54,1.74,0.45,163,482453.97,43.86,0.0,0
2026-04-01,00:48:46,308,245909.09,21.09,0.0,1984,21280.24,1.77,0.44,150,526000.0,47.82,0.0,0
2026-04-01,00:48:48,298,254832.22,21.86,0.0,1966,21658.19,1.8,0.42,155,508387.09,46.22,0.0,0
2026-04-01,00:48:50,295,257627.13,22.09,0.0,1975,21468.35,1.79,0.43,156,505000.0,45.91,0.0,0
2026-04-01,00:48:52,304,249407.89,21.39,0.0,1974,21489.36,1.79,0.43,145,544827.56,49.53,0.0,0
2026-04-01,00:48:54,290,262413.78,22.51,0.0,1979,21384.54,1.78,0.43,149,529664.44,48.15,0.0,0
2026-04-01,00:48:56,305,248524.59,21.31,0.0,1968,21615.85,1.8,0.42,153,515294.13,46.84,0.0,0
2026-04-01,00:48:58,304,249407.89,21.39,0.0,1994,21073.22,1.76,0.45,157,501656.06,45.61,0.0,0
2026-04-01,00:49:00,299,253913.03,21.78,0.0,1993,21093.83,1.76,0.45,158,498354.41,45.3,0.0,0
