timestamp,date,time,mq2_ratio,mq135_ratio,mq7_ratio,mq2_ppm,mq135_ppm,mq7_ppm,prediction,label_name
2026-04-17T10:24:24.613026,2026-04-17,10:24:24,8.4895,3.7306,6.2611,0.38,0.43,17.69,0,Clean Air
2026-04-17T10:24:26.869710,2026-04-17,10:24:26,8.5166,3.7265,6.2941,0.37,0.43,17.43,3,High Gas
2026-04-17T10:24:29.167321,2026-04-17,10:24:29,8.2526,3.7552,6.3951,0.44,0.42,16.63,3,High Gas
2026-04-17T10:24:31.471955,2026-04-17,10:24:31,8.5713,3.7552,6.3951,0.36,0.42,16.63,3,High Gas
2026-04-17T10:24:33.882548,2026-04-17,10:24:33,8.7392,3.7967,6.4467,0.32,0.4,16.24,3,High Gas
2026-04-17T10:24:36.359743,2026-04-17,10:24:36,8.3302,3.7967,6.4122,0.42,0.4,16.5,3,High Gas
2026-04-17T10:24:38.616504,2026-04-17,10:24:38,8.5166,3.8218,6.4641,0.37,0.39,16.11,3,High Gas
2026-04-17T10:24:40.891597,2026-04-17,10:24:40,8.4358,3.86,6.5167,0.39,0.37,15.73,3,High Gas
2026-04-17T10:24:43.296239,2026-04-17,10:24:43,8.7678,3.8643,6.5167,0.31,0.37,15.73,3,High Gas
2026-04-17T10:24:45.600580,2026-04-17,10:24:45,8.7678,3.8944,6.5701,0.31,0.36,15.35,3,High Gas
2026-04-17T10:24:47.867032,2026-04-17,10:24:47,8.5439,3.86,6.6977,0.36,0.37,14.47,3,High Gas
2026-04-17T10:24:50.287987,2026-04-17,10:24:50,8.6826,3.8643,6.6425,0.33,0.37,14.84,3,High Gas
2026-04-17T10:24:52.842247,2026-04-17,10:24:52,8.6826,3.8901,6.8108,0.33,0.36,13.74,3,High Gas
2026-04-17T10:24:55.202994,2026-04-17,10:24:55,8.9727,4.0226,6.6425,0.27,0.31,14.84,3,High Gas
2026-04-17T10:24:57.646082,2026-04-17,10:24:57,8.9727,3.9424,6.8108,0.27,0.34,13.74,3,High Gas
2026-04-17T10:25:00.120280,2026-04-17,10:25:00,8.5439,4.0181,6.8108,0.36,0.31,13.74,3,High Gas
2026-04-17T10:25:02.563824,2026-04-17,10:25:02,8.7678,4.0727,6.8299,0.31,0.29,13.61,3,High Gas
2026-04-17T10:25:05.441305,2026-04-17,10:25:05,8.7392,4.0091,6.8881,0.32,0.31,13.26,3,High Gas
2026-04-17T10:25:08.005297,2026-04-17,10:25:08,9.0027,4.0046,6.9869,0.27,0.31,12.67,3,High Gas
2026-04-17T10:25:10.361231,2026-04-17,10:25:10,9.0938,4.0181,6.9869,0.25,0.31,12.67,3,High Gas
2026-04-17T10:25:12.570869,2026-04-17,10:25:12,8.6545,4.0681,7.007,0.34,0.29,12.55,3,High Gas
2026-04-17T10:25:15.281133,2026-04-17,10:25:15,0.954,4.0498,6.8108,53.39,0.3,13.74,0,Clean Air
2026-04-17T10:25:17.517811,2026-04-17,10:25:17,0.8122,0.0625,1.5784,58.61,29.43,152.87,0,Clean Air
2026-04-17T10:25:20.128187,2026-04-17,10:25:20,1.8077,0.0758,1.7267,30.44,28.98,142.78,0,Clean Air
2026-04-17T10:25:22.582865,2026-04-17,10:25:22,0.7652,0.0,2.0064,60.45,31.62,125.52,1,Low Gas
2026-04-17T10:25:24.741627,2026-04-17,10:25:24,1.9218,0.0,1.654,28.24,31.62,147.64,1,Low Gas
2026-04-17T10:25:27.500953,2026-04-17,10:25:27,3.4501,0.0,1.7763,10.33,31.62,139.55,1,Low Gas
2026-04-17T10:25:30.166740,2026-04-17,10:25:30,5.6314,0.1967,2.25,2.46,25.21,112.2,1,Low Gas
2026-04-17T10:25:32.718235,2026-04-17,10:25:32,0.0,0.4682,2.9405,100.0,18.45,81.64,1,Low Gas
2026-04-17T10:25:34.928277,2026-04-17,10:25:34,1.2482,0.0,3.3987,43.99,31.62,66.11,1,Low Gas
